
C:\Users\Bryce\Documents\ImageData\build\Debug>cmake --build .. 
Microsoft (R) Build Engine version 16.4.0+e901037fe for .NET Framework
Copyright (C) Microsoft Corporation. All rights reserved.

  AudioPlayer.cpp
  PI.vcxproj -> C:\Users\Bryce\Documents\ImageData\build\Debug\PI.exe

C:\Users\Bryce\Documents\ImageData\build\Debug>.\PI.exe
0,0
1,4
2,9
3,13
4,18
5,22
6,27
7,31
8,36
9,40
10,44
11,48
12,52
13,56
14,60
15,63
16,67
17,70
18,73
19,77
20,79
21,82
22,85
23,87
24,89
25,92
26,93
27,95
28,97
29,98
30,99
31,100
32,101
33,101
34,102
35,102
36,102
37,102
38,101
39,101
40,100
41,99
42,98
43,97
44,96
45,94
46,93
47,91
48,89
49,87
50,85
51,83
52,80
53,78
54,75
55,73
56,70
57,67
58,64
59,62
60,59
61,56
62,53
63,50
64,47
65,44
66,41
67,39
68,36
69,33
70,30
71,28
72,25
73,23
74,20
75,18
76,16
77,14
78,12
79,10
80,8
81,6
82,5
83,4
84,2
85,1
86,0
87,0
88,0
89,0
90,-1
91,-1
92,-1
93,-1
94,-1
95,0
96,0
97,0
98,1
99,2
100,3
101,4
102,6
103,7
104,9
105,11
106,13
107,14
108,16
109,19
110,21
111,23
112,25
113,28
114,30
115,32
116,35
117,37
118,40
119,42
120,45
121,47
122,50
123,52
124,54
125,57
126,59
127,61
128,63
129,65
130,67
131,69
132,71
133,72
134,74
135,75
136,76
137,77
138,78
139,79
140,79
141,80
142,80
143,80
144,80
145,80
146,80
147,79
148,78
149,77
150,76
151,75
152,73
153,72
154,70
155,68
156,65
157,63
158,61
159,58
160,55
161,52
162,49
163,46
164,42
165,39
166,35
167,31
168,27
169,23
170,19
171,15
172,11
173,6
174,2
175,-2
176,-6
177,-10
178,-15
179,-19
180,-24
181,-29
182,-33
183,-37
184,-42
185,-46
186,-51
187,-55
188,-59
189,-63
190,-67
191,-71
192,-75
193,-78
194,-82
195,-85
196,-89
197,-92
198,-95
199,-98
200,-100
201,-103
202,-105
203,-107
204,-109
205,-111
206,-112
207,-114
208,-115
209,-116
210,-117
211,-117
212,-118
213,-118
214,-118
215,-118
216,-117
217,-117
218,-116
219,-115
220,-114
221,-113
222,-111
223,-110
224,-108
225,-106
226,-104
227,-102
228,-99
229,-97
230,-94
231,-92
232,-89
233,-86
234,-83
235,-80
236,-77
237,-73
238,-70
239,-67
240,-64
241,-60
242,-57
243,-53
244,-50
245,-47
246,-43
247,-40
248,-37
249,-33
250,-30
251,-27
252,-24
253,-21
254,-18
255,-15
256,-13
257,-10
258,-8
259,-5
260,-3
261,-1
262,0
263,2
264,3
265,5
266,6
267,8
268,9
269,10
270,10
271,11
272,11
273,12
274,12
275,12
276,12
277,11
278,11
279,10
280,10
281,9
282,8
283,7
284,6
285,4
286,3
287,1
288,0
289,-1
290,-3
291,-5
292,-7
293,-9
294,-11
295,-13
296,-15
297,-17
298,-20
299,-22
300,-24
301,-26
302,-28
303,-31
304,-33
305,-35
306,-37
307,-39
308,-40
309,-42
310,-44
311,-46
312,-47
313,-49
314,-50
315,-51
316,-52
317,-53
318,-54
319,-54
320,-55
321,-55
322,-55
323,-56
324,-55
325,-55
326,-55
327,-54
328,-53
329,-52
330,-51
331,-50
332,-48
333,-47
334,-45
335,-43
336,-41
337,-38
338,-36
339,-33
340,-30
341,-28
342,-24
343,-21
344,-18
345,-15
346,-11
347,-7
348,-4
349,0
350,3
351,7
352,11
353,15
354,19
355,24
356,28
357,32
358,36
359,41
360,45
361,49
362,53
363,57
364,62
365,66
366,70
367,74
368,77
369,81
370,85
371,88
372,92
373,95
374,98
375,101
376,104
377,107
378,109
379,112
380,114
381,116
382,118
383,120
384,121
385,123
386,124
387,125
388,125
389,126
390,126
391,127
392,126
393,126
394,126
395,125
396,124
397,123
398,122
399,121
400,119
401,117
402,115
403,113
404,111
405,109
406,106
407,103
408,100
409,97
410,94
411,91
412,88
413,84
414,81
415,77
416,74
417,70
418,66
419,62
420,59
421,55
422,51
423,47
424,43
425,39
426,36
427,32
428,28
429,24
430,21
431,17
432,14
433,10
434,7
435,4
436,1
437,-1
438,-4
439,-7
440,-10
441,-12
442,-15
443,-17
444,-19
445,-21
446,-22
447,-24
448,-26
449,-27
450,-28
451,-29
452,-30
453,-30
454,-31
455,-31
456,-31
457,-31
458,-31
459,-31
460,-30
461,-30
462,-29
463,-28
464,-27
465,-26
466,-25
467,-24
468,-22
469,-21
470,-19
471,-17
472,-16
473,-14
474,-12
475,-10
476,-8
477,-6
478,-4
479,-2
480,0
481,2
482,4
483,6
484,8
485,10
486,12
487,14
488,16
489,17
490,19
491,21
492,22
493,24
494,25
495,26
496,27
497,28
498,29
499,30
500,30
501,31
502,31
503,31
504,31
505,31
506,31
507,30
508,30
509,29
510,28
511,27
512,26
